;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2014M01-I;2014M02-I;2014M03-I;2014M04-I;2014M05-I;2014M06-I;2014M07-I;2014M08-I;2014M09-I;2014M10-I;2014M11-I;2014M12-I;2015M01-I;2015M02-I;2015M03-I;2015M04-I;2015M05-I;2015M06-I;2015M07-I;2015M08-I;2015M09-I;2015M10-I;2015M11-I;2015M12-I;2016M01-I;2016M02-I;2016M03-I;2016M04-I;2016M05-I;2016M06-I;2016M07-I;2016M08-I;2016M09-I;2016M10-I;2016M11-I;2016M12-I;2017M01-I;2017M02-I;2017M03-I;2017M04-I;2017M05-I;2017M06-I;2017M07-I;2017M08-I;2017M09-I;2017M10-I;2017M11-I;2017M12-I;2018M01-I;2018M02-I;2018M03-I;2018M04-I;2018M05-I;2018M06-I;2018M07-I;2018M08-I;2018M09-I;2018M10-I;2018M11-I;2018M12-I;2019M01-I;2019M02-I;2019M03-I;2019M04-I;2019M05-I;2019M06-I;2019M07-I;2019M08-I;2019M09-I;2019M10-I;2019M11-I;2019M12-I;2020M01-I;2020M02-I;2020M03-I;2020M04-I
Australia;17639,40;15464,91;17503,03;17890,83;17846,57;17933,94;19237,15;18136,28;18828,56;18830,97;17405,04;16747,60;15266,73;15938,38;14811,12;15566,33;16194,51;16062,45;17306,28;15716,10;16775,88;16695,47;16048,74;15677,92;13725,05;13264,30;14472,32;14824,27;14703,50;15569,51;15545,56;15763,54;16615,65;15560,87;16099,08;15454,52;14864,44;13326,42;16913,72;15181,86;16251,80;20787,17;18951,75;17459,19;17852,76;17564,63;18667,41;18219,20;17384,33;16762,79;18271,61;18012,08;18329,34;18674,50;18098,20;18809,02;17485,34;19436,84;18923,51;17181,61;16618,67;14585,84;17243,38;16229,59;17203,30;16507,74;18254,02;16622,15;17412,14;18967,35;17127,98;17558,35;13961,15;14387,32;15872,07;13301,57;17298,35;17533,14;19994,40;19625,75;19396,86;20461,85;20189,14;20159,15;20084,62;21805,10;22104,70;23320,32;23716,76;18713,49;22338,19;22670,53;21489,94;21663,71;22646,88;20501,09;21315,12;20060,47;18328,18;20060,55;18974,72;16515,38;18020,76;17425,62;15179,95;16819,95;18292,52;15859,72;16561,67;15693,99;15333,74;16531,90;14395,90;13415,08;15406,11;16316,76;16677,78;16066,23;16918,79;17923,06;17832,89;18156,40;18764,68;20714,99;20331,80;19222,11;22661,74;21163,27;21350,40;20300,61;20432,91;20433,54;21275,38;20616,51;21628,60;20986,32;23453,19;20271,19;22958,74;21863,38;22834,82;22401,73;24410,38;24561,33;22176,89;22272,06;23922,83;20819,95;24635,87;20321,00;22745,92;23566,46;24272,05;22507,88;27137,00;26964,53;24821,45;23769,01;21716,66;24335,22;25352,47;16986,24;22636,22;22046,03
World;1549886,10;1425788,65;1619755,88;1590351,11;1604543,34;1579673,38;1645222,49;1496323,11;1620104,69;1628751,60;1517869,53;1508634,36;1352720,86;1280323,11;1395203,23;1359230,49;1362807,71;1441668,49;1412789,86;1281114,77;1396784,66;1404886,38;1335563,50;1357823,81;1179690,82;1177452,78;1327254,87;1308914,74;1312902,77;1378714,72;1297439,19;1314271,56;1379897,05;1349958,74;1402497,82;1406121,73;1308450,39;1261924,31;1516450,29;1340834,11;1467138,84;1482833,95;1429512,08;1451029,16;1534075,11;1526847,36;1600007,75;1562460,49;1548689,03;1470414,83;1658647,23;1585953,57;1630383,14;1644302,95;1617172,79;1584848,68;1611261,35;1718780,43;1657173,24;1525240,03;1541830,53;1409403,30;1630115,40;1551286,34;1620364,65;1527059,37;1606976,65;1501720,92;1561564,47;1639109,28;1574746,29;1564228,10;1451985,20;1372432,48;1461195,15;1156966,45;1588861,46;1547418,25;1848639,29;1781862,75;1773759,74;1891479,09;1849275,67;1796739,27;1915791,46;1965650,92;2040990,98;2066368,09;1564906,85;1452877,07;1628754,72;1609452,45;1597074,82;1585779,97;1645447,36;1503475,74;1647309,70;1641873,97;1522741,32;1533133,09;1366103,74;1272359,78;1451796,19;1385896,91;1351245,83;1446716,93;1436419,84;1315978,82;1402528,90;1421665,68;1357370,95;1360930,22;1205926,57;1213964,53;1355037,20;1319155,43;1335821,96;1395423,80;1311324,16;1368595,40;1399568,07;1384783,84;1424105,28;1422922,67;1341670,80;1296270,11;1518721,42;1353185,12;1499824,84;1473319,93;1446107,04;1498336,00;1539314,24;1567989,55;1625991,69;1567331,55;1619480,14;1476623,73;1668257,32;1602372,56;1667956,94;1627789,44;1669228,50;1631533,69;1616470,62;1753553,64;1669058,32;1532420,05;1600142,87;1429438,78;1619309,75;1600374,96;1644793,61;1524001,55;1656449,58;1545356,59;1582894,48;1666755,69;1587756,54;1577308,75;1535444,33;1381060,85;1480056,76;1208439,43
Advanced Economies;969216,92;895220,01;1008448,64;981740,05;987632,91;977547,28;1019808,70;910346,19;1004039,58;1009724,60;935540,63;922067,40;846238,51;807627,91;873504,08;844220,41;844009,60;899715,66;872973,32;787144,18;881238,79;886483,10;840762,30;845239,19;753371,77;761704,22;845106,87;829792,04;827099,63;875665,89;816797,33;816701,22;878522,12;847400,16;877468,99;860122,21;823382,27;794888,36;945473,26;826744,24;908406,45;926560,45;883866,79;890981,97;957699,20;949416,57;993300,07;949272,91;972886,35;926651,99;1033757,43;983062,56;1002752,30;1023074,39;995347,82;964912,83;1005380,61;1067531,48;1031540,07;929084,83;970706,31;893262,21;1017232,52;953821,89;1002057,36;951871,25;992850,31;913845,36;968394,56;1018305,19;960358,38;929286,08;906098,90;855594,32;910327,58;717906,89;971972,36;957514,30;1135779,23;1082877,90;1084927,17;1165878,41;1126137,47;1074678,05;1173441,64;1203124,44;1241077,00;1237598,52;854238,83;826216,70;928605,90;909544,85;894568,95;894008,17;914228,16;813688,34;905755,59;914070,06;852501,27;851801,58;760209,10;725228,48;836674,15;794021,49;767464,57;824525,03;806473,97;724955,33;791368,52;806403,51;777190,78;777397,75;682534,47;708143,89;800311,30;775921,89;773633,25;806764,65;749311,08;764091,64;797378,66;786165,14;809918,23;806142,68;751230,45;750059,56;882692,56;770618,45;854086,48;849817,62;821613,90;834301,76;871002,82;891390,60;921881,74;884067,19;901580,25;842095,21;975701,10;921936,23;946860,37;931059,34;934264,61;894157,51;898223,61;969167,95;930954,60;851103,37;881641,35;818898,64;933897,18;905468,04;928403,23;862685,26;923208,94;847291,54;881052,12;932977,64;889514,10;877337,37;848738,54;795672,74;863324,02;682110,15
Euro Area;389402,84;365198,97;403184,78;389735,19;392242,99;386612,76;399412,51;336811,95;383859,14;389117,12;356403,24;335239,37;323789,20;316399,54;336189,30;317562,08;321101,39;344694,12;330142,16;281328,73;336114,38;340731,92;317901,28;303098,68;293734,07;307911,95;328701,05;326154,60;318553,08;337959,09;310518,74;296911,91;337099,19;323170,06;334732,03;311174,83;323194,53;317509,51;369026,01;317202,39;356881,68;358544,58;342840,45;335028,28;374698,91;381552,23;391776,82;358721,41;395903,16;385677,02;420026,92;398347,16;396997,49;408210,91;390752,71;359133,20;390646,70;421667,09;407373,35;352019,31;397057,52;371652,51;407904,34;382656,54;399923,17;369638,58;386664,41;333196,96;377497,87;401830,04;376672,82;349103,77;374937,22;349949,81;350445,32;259746,34;381313,17;392111,60;460096,88;433155,70;433432,47;466874,54;441417,97;406616,48;465684,68;482602,23;495497,42;476283,81;371905,94;373217,51;416729,15;403718,52;397308,38;398485,74;409526,65;345999,92;397586,62;401414,94;371545,22;366691,49;322635,40;325130,75;360555,89;337598,78;332988,89;364025,88;355265,79;302047,88;349717,80;360297,86;345195,32;336544,24;295418,07;326208,52;359488,85;347151,69;344527,78;363291,86;330362,17;324997,75;353149,45;346118,22;356238,02;337906,38;322363,70;331033,16;384830,48;333398,60;376882,52;377683,76;366190,28;361196,00;392079,38;403652,95;415015,30;390047,26;401261,55;391105,20;440670,66;413995,83;415965,70;414556,44;412962,50;372858,00;391655,71;427973,03;415100,82;379094,09;391830,76;377521,23;421614,06;400293,27;415974,48;386443,35;411324,36;353599,46;390663,18;418789,52;396565,13;380329,06;371185,64;362167,37;380311,64;277770,08
Austria;14689,34;14623,73;15284,16;15260,82;14547,15;14508,21;15029,48;12385,59;14720,44;14955,94;13268,58;11688,57;12265,62;12743,93;12974,26;11727,45;11694,13;12866,37;12763,11;11072,06;13621,28;13416,45;12820,66;11207,75;11946,65;12390,48;13261,03;12974,70;12144,21;13184,20;12174,76;12103,88;13382,12;12743,59;13242,34;11296,97;12636,87;12926,55;14101,77;12569,29;13965,47;13690,44;13659,84;13463,11;15213,00;15558,50;15681,87;13794,97;15143,34;15082,83;17308,08;15512,52;15014,32;15572,93;15041,12;13797,79;15191,36;16983,80;16293,34;13041,27;15099,85;15893,00;15947,38;15270,04;15520,28;14257,78;15730,38;12897,73;14620,74;15650,30;14894,44;12201,49;14150,69;13642,99;14277,94;10951,79;14325,06;16166,52;18768,42;17613,35;17164,77;18504,93;17256,94;15972,86;18472,92;18226,36;19368,22;17398,84;14513,77;14160,84;16371,66;15957,07;15715,98;15681,67;16111,07;13210,95;15550,22;15901,97;15177,82;13839,90;12092,66;12547,73;13760,37;12959,28;12558,47;13758,01;13682,25;12140,41;14005,11;14076,09;14058,43;13054,08;11181,48;12831,71;13779,13;13451,63;12997,48;13908,70;13054,74;12688,93;13741,93;13364,85;13771,21;12754,24;12992,63;12406,62;14524,69;12920,72;14990,99;14335,99;14579,38;14398,76;15746,59;16430,97;16364,79;14491,63;15742,89;15412,82;17929,14;16858,74;15794,54;16104,06;16142,04;15054,92;15751,17;17316,09;16467,48;14527,10;15432,31;15487,38;16665,85;16154,99;16631,38;15855,73;16563,58;14115,13;15832,08;16655,81;15659,09;14446,67;14331,64;14393,36;15828,92;12248,56
Belgium;36704,91;34986,31;38714,41;37313,92;36795,58;36996,91;36238,32;33638,64;36921,03;37569,85;32756,31;32112,13;30614,06;29277,83;31615,47;29614,63;30448,04;32901,16;29843,04;26853,07;31272,92;31147,10;28930,57;28060,63;28250,12;29029,44;30444,39;30556,65;29851,62;32135,66;27802,43;28547,00;30960,72;29526,25;30222,27;28666,84;29966,98;29444,56;34330,17;28864,32;32287,60;32918,54;30121,80;30977,98;33181,22;33683,89;34242,33;32636,97;35988,58;35627,75;37937,18;36157,94;35791,16;36401,43;34922,16;32606,66;34562,24;36677,81;35260,92;32029,62;35933,80;33757,72;36004,03;34195,01;36693,14;32889,88;33465,15;29422,55;31743,73;35530,89;32937,05;31522,36;34112,61;31648,93;31196,64;23369,17;35036,05;36555,14;41522,79;39163,04;39674,11;43483,93;38383,75;38953,46;43206,24;44220,76;44454,51;43340,28;34704,83;34659,36;38880,52;37448,84;36706,73;36706,79;37031,13;31935,11;37484,17;36841,60;32982,64;31639,58;29062,12;29695,69;32236,25;30093,13;29836,43;33451,32;31574,84;26674,39;31750,03;31325,49;29085,77;29354,31;27666,24;29328,91;32121,94;31114,57;29827,89;33183,73;29093,40;28254,73;31583,69;30327,15;30769,62;29139,84;28266,87;29286,99;34362,17;29154,40;32990,04;33041,58;31437,99;31299,96;33875,27;34837,89;35618,46;33228,79;35645,03;33872,50;38660,59;35700,06;36608,93;36391,12;36211,44;32232,34;35277,59;36756,89;36220,60;32794,19;34607,09;33541,91;36211,87;35227,68;35696,09;34071,35;34694,85;30186,87;33624,49;35428,86;33737,06;32441,50;32898,73;31529,23;32510,99;24141,65
Belgium-Luxembourg;1,94;1,23;2,27;1,50;3,06;2,81;3,05;2,01;2,17;2,00;1,53;2,04;305,80;220,60;286,50;200,00;244,50;226,90;175,40;150,10;153,10;165,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,44;5,65;3,04;2,40;3,81;1,65;3,32;3,30;2,09;3,08;6,45;10,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyprus;1090,34;977,73;1039,90;965,63;945,40;1057,69;935,03;1038,15;1032,49;929,36;856,92;847,67;785,16;664,59;849,56;738,28;712,15;883,35;779,52;629,55;763,29;996,23;618,57;689,40;544,80;697,83;723,27;702,30;665,30;673,81;804,70;770,41;849,30;957,65;743,72;739,22;722,23;887,02;1005,00;684,09;905,79;885,77;871,80;1124,64;835,14;1335,93;951,87;965,42;1072,30;973,39;1061,36;888,58;1001,11;981,95;1019,13;959,53;1114,54;1363,98;1650,63;1427,84;1070,80;992,12;1011,04;1221,38;940,62;968,25;1059,02;970,90;951,45;952,92;887,58;858,50;862,91;1188,85;767,36;599,24;775,14;1023,86;969,74;1040,73;1078,96;1111,82;1078,17;893,09;930,15;1028,52;1059,99;1180,30;363,40;384,96;414,64;411,31;352,80;406,82;451,57;437,72;380,83;297,84;314,44;308,58;252,80;386,98;390,30;417,59;678,47;465,15;485,01;233,94;305,68;289,35;221,64;287,97;300,35;284,70;336,89;360,60;267,80;353,85;258,58;228,97;279,22;249,57;325,59;267,37;317,00;272,74;338,61;262,35;283,06;352,72;311,68;337,33;342,27;298,30;351,83;384,87;350,67;310,55;362,15;371,75;466,34;397,18;482,14;404,20;400,15;348,51;276,02;354,81;300,04;272,77;683,59;348,49;341,10;284,16;396,61;278,87;308,13;379,06;296,15;357,67;287,69;356,62;348,53;226,61
Estonia, Rep. of;1791,94;1769,87;1981,13;1850,72;1986,34;1813,37;1925,97;1723,38;2061,97;2009,52;1682,46;1572,20;1468,34;1440,68;1544,07;1476,35;1422,97;1561,93;1387,95;1307,54;1484,26;1486,60;1418,24;1263,65;1178,86;1402,14;1569,51;1614,55;1520,34;1540,58;1409,46;1413,76;1529,58;1465,22;1505,80;1469,37;1593,48;1342,72;1770,49;1461,31;1850,92;1600,94;1466,18;1564,43;1682,88;1647,39;1800,68;1641,92;1649,34;1640,34;1857,43;1753,95;1918,14;1843,71;1812,53;1683,38;1697,57;1879,35;1824,94;1637,55;1592,10;1539,15;1792,35;1770,42;1785,66;1744,93;1788,72;1597,51;1681,12;1800,57;1702,68;1697,02;1609,76;1475,08;1692,07;1462,85;1850,81;1825,18;2202,33;2213,22;2267,92;2328,63;2224,32;2187,24;2410,32;2370,17;2326,56;2529,75;1196,30;1349,42;1359,76;1364,38;1433,29;1460,05;1421,79;1492,73;1441,01;1717,71;1350,49;1299,63;977,83;977,64;1110,04;1105,32;1086,69;1145,32;1083,36;974,79;1088,57;1102,79;1045,69;1033,09;916,95;1030,22;1201,50;1218,16;1210,91;1229,65;1029,43;1162,11;1273,88;1182,37;1190,94;1147,53;1032,90;992,10;1188,23;1094,51;1224,11;1189,44;1185,24;1264,12;1288,85;1320,77;1354,25;1201,02;1204,99;1220,73;1368,49;1347,09;1390,10;1384,03;1296,30;1283,96;1287,58;1379,85;1368,77;1198,98;1328,80;1172,63;1409,61;1357,29;1412,71;1336,83;1228,25;1216,54;1148,06;1305,00;1216,84;1183,77;1247,09;1116,12;1265,44;1018,17
Finland;7036,99;6466,30;6748,15;7233,01;7519,15;6766,92;7260,71;6203,76;6744,04;7039,17;5961,47;5954,04;5542,96;5262,73;5504,98;5203,36;5008,52;5139,36;5008,49;4860,60;5643,98;5594,40;5070,43;5127,14;4581,49;4888,50;5270,25;5176,34;5278,69;5637,63;4673,28;4973,08;5572,20;5352,73;5226,17;5297,29;5301,17;5123,21;5987,35;5183,63;5778,15;6466,25;5258,03;5848,20;6503,20;6077,16;6465,54;6056,05;6409,39;6566,12;6882,67;6490,48;6692,65;6624,59;6234,14;6485,90;6284,16;6896,13;6530,39;5963,04;6223,35;5846,38;6567,67;6439,18;6804,98;5941,69;6135,00;6049,72;6020,85;6308,45;6013,61;5455,20;5839,64;5682,32;6245,43;4759,88;5830,16;6287,05;7289,95;7031,26;6649,41;7089,71;6749,11;6482,83;7605,13;7480,99;7940,06;8246,79;6636,08;6124,82;6620,67;6986,46;7026,69;6676,26;6534,26;6062,44;6802,73;6742,00;6365,37;5974,27;5445,97;5183,49;5792,04;5598,80;5390,75;5788,73;5549,47;5213,32;6164,65;5997,56;5333,85;5302,03;4666,81;4886,54;5469,93;5450,27;5394,82;5771,36;5127,32;5116,08;6187,53;5550,40;5494,71;5268,85;5186,89;5232,19;5963,09;5609,26;6040,87;5938,30;5944,23;6920,34;6403,97;7089,42;6775,49;6533,44;6558,32;6423,26;7168,01;6634,47;6908,59;6780,31;7295,21;6210,85;6513,99;6987,63;6693,21;6412,33;6480,48;5955,17;7102,46;6541,05;7101,82;6306,89;6349,58;5844,88;6383,81;6504,87;6072,11;7020,24;5953,48;5083,29;6012,03;5028,45
