DATE,RSXFSN
1995-01-01,158004
1995-02-01,155156
1995-03-01,181910
1995-04-01,176635
1995-05-01,190269
1995-06-01,191609
1995-07-01,182909
1995-08-01,193370
1995-09-01,182521
1995-10-01,184276
1995-11-01,193405
1995-12-01,227552
1996-01-01,167372
1996-02-01,173941
1996-03-01,191851
1996-04-01,191886
1996-05-01,205797
1996-06-01,196842
1996-07-01,197140
1996-08-01,204270
1996-09-01,189424
1996-10-01,201927
1996-11-01,203621
1996-12-01,237478
1997-01-01,181073
1997-02-01,178428
1997-03-01,203750
1997-04-01,199219
1997-05-01,211516
1997-06-01,205491
1997-07-01,208856
1997-08-01,211952
1997-09-01,201415
1997-10-01,210145
1997-11-01,207533
1997-12-01,249389
1998-01-01,187445
1998-02-01,183767
1998-03-01,207973
1998-04-01,212262
1998-05-01,221155
1998-06-01,220867
1998-07-01,217687
1998-08-01,216605
1998-09-01,208915
1998-10-01,220499
1998-11-01,218969
1998-12-01,265618
1999-01-01,196810
1999-02-01,199451
1999-03-01,230230
1999-04-01,227109
1999-05-01,237462
1999-06-01,236830
1999-07-01,236992
1999-08-01,240478
1999-09-01,230665
1999-10-01,233193
1999-11-01,240857
1999-12-01,293013
2000-01-01,213709
2000-02-01,227087
2000-03-01,253717
2000-04-01,239051
2000-05-01,257581
2000-06-01,255066
2000-07-01,244445
2000-08-01,257487
2000-09-01,243624
2000-10-01,245167
2000-11-01,252145
2000-12-01,294197
2001-01-01,226791
2001-02-01,223971
2001-03-01,253439
2001-04-01,249062
2001-05-01,268658
2001-06-01,260315
2001-07-01,251504
2001-08-01,266460
2001-09-01,236210
2001-10-01,265188
2001-11-01,262004
2001-12-01,298666
2002-01-01,230546
2002-02-01,228084
2002-03-01,257133
2002-04-01,257357
2002-05-01,271682
2002-06-01,260385
2002-07-01,266795
2002-08-01,277716
2002-09-01,246350
2002-10-01,259945
2002-11-01,263738
2002-12-01,308821
2003-01-01,242271
2003-02-01,233478
2003-03-01,264532
2003-04-01,265990
2003-05-01,281482
2003-06-01,271242
2003-07-01,279323
2003-08-01,285212
2003-09-01,265331
2003-10-01,273781
2003-11-01,272396
2003-12-01,327693
2004-01-01,252818
2004-02-01,253689
2004-03-01,287944
2004-04-01,284325
2004-05-01,296253
2004-06-01,289664
2004-07-01,294875
2004-08-01,294133
2004-09-01,282974
2004-10-01,287468
2004-11-01,294278
2004-12-01,354627
2005-01-01,263469
